"No.","Time","Source","Destination","Protocol","Length","Info"
"487","1.967225","132.72.81.121","132.72.140.46","DNS","76","Standard query 0xb2bf A go.microsoft.com"
"490","2.033218","132.72.81.121","132.72.140.46","DNS","72","Standard query 0x6f1f A sjgather.com"
"559","2.383644","132.72.81.121","132.72.140.46","DNS","85","Standard query 0xc221 A windows.policies.live.net"
"710","3.377524","132.72.81.121","132.72.140.46","DNS","74","Standard query 0x2071 A login.live.com"
"1089","5.742153","132.72.81.121","132.72.140.46","DNS","79","Standard query 0x92b3 A clients4.google.com"
"1091","5.744789","132.72.81.121","172.217.168.238","UDP","1392","57424  >  443 Len=1350"
"1097","5.816413","132.72.81.121","172.217.168.238","UDP","70","57424  >  443 Len=28"
"1098","5.816609","132.72.81.121","172.217.168.238","UDP","1392","57424  >  443 Len=1350"
"1099","5.816657","132.72.81.121","172.217.168.238","UDP","794","57424  >  443 Len=752"
"1115","5.886456","132.72.81.121","172.217.20.68","UDP","530","53089  >  443 Len=488"
"1118","5.932192","132.72.81.121","172.217.168.238","UDP","70","57424  >  443 Len=28"
"1121","5.933084","132.72.81.121","172.217.168.238","UDP","70","57424  >  443 Len=28"
"1145","5.989717","132.72.81.121","172.217.20.68","UDP","70","53089  >  443 Len=28"
"1149","6.016231","132.72.81.121","172.217.20.68","UDP","70","53089  >  443 Len=28"
"1255","6.674307","132.72.81.121","172.217.20.68","UDP","289","53089  >  443 Len=247"
"1270","6.755471","132.72.81.121","172.217.20.68","UDP","81","53089  >  443 Len=39"
"1272","6.772553","132.72.81.121","216.58.211.106","UDP","1392","57434  >  443 Len=1350"
"1273","6.774768","132.72.81.121","172.217.168.195","UDP","1392","57435  >  443 Len=1350"
"1277","6.780560","132.72.81.121","172.217.20.68","UDP","70","53089  >  443 Len=28"
"1278","6.790764","132.72.81.121","172.217.20.68","UDP","296","53089  >  443 Len=254"
"1279","6.791261","132.72.81.121","172.217.17.142","UDP","269","64192  >  443 Len=227"
"1281","6.845175","132.72.81.121","216.58.211.106","UDP","70","57434  >  443 Len=28"
"1284","6.848500","132.72.81.121","172.217.168.195","UDP","70","57435  >  443 Len=28"
"1297","6.880191","132.72.81.121","172.217.20.68","UDP","81","53089  >  443 Len=39"
"1301","6.892077","132.72.81.121","172.217.20.68","UDP","297","53089  >  443 Len=255"
"1305","6.896306","132.72.81.121","172.217.20.68","UDP","70","53089  >  443 Len=28"
"1306","6.921904","132.72.81.121","172.217.20.68","UDP","70","53089  >  443 Len=28"
"1322","6.949300","132.72.81.121","172.217.17.142","UDP","70","64192  >  443 Len=28"
"1323","6.949347","132.72.81.121","172.217.17.142","UDP","70","64192  >  443 Len=28"
"1324","6.949378","132.72.81.121","172.217.17.142","UDP","70","64192  >  443 Len=28"
"1325","6.949410","132.72.81.121","172.217.17.142","UDP","70","64192  >  443 Len=28"
"1326","6.949445","132.72.81.121","172.217.17.142","UDP","70","64192  >  443 Len=28"
"1330","6.950729","132.72.81.121","172.217.17.142","UDP","70","64192  >  443 Len=28"
"1332","6.952170","132.72.81.121","172.217.17.142","UDP","70","64192  >  443 Len=28"
"1336","6.964806","132.72.81.121","132.72.140.46","DNS","71","Standard query 0xe639 A i.ytimg.com"
"1338","6.972746","132.72.81.121","172.217.168.246","UDP","1392","59817  >  443 Len=1350"
"1339","6.973602","132.72.81.121","172.217.168.246","UDP","405","59817  >  443 Len=363"
"1341","6.979993","132.72.81.121","172.217.17.142","UDP","70","64192  >  443 Len=28"
"1345","7.002607","132.72.81.121","172.217.20.68","UDP","70","53089  >  443 Len=28"
"1351","7.028350","132.72.81.121","172.217.20.68","UDP","70","53089  >  443 Len=28"
"1354","7.046519","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1367","7.072162","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1370","7.090176","132.72.81.121","172.217.17.142","UDP","70","64192  >  443 Len=28"
"1459","7.457036","132.72.81.121","172.217.168.195","UDP","1392","59828  >  443 Len=1350"
"1470","7.529263","132.72.81.121","172.217.168.195","UDP","70","59828  >  443 Len=28"
"1492","7.636163","132.72.81.121","172.217.168.238","UDP","1392","57424  >  443 Len=1350"
"1493","7.636209","132.72.81.121","172.217.168.238","UDP","1388","57424  >  443 Len=1346"
"1506","7.640958","132.72.81.121","172.217.17.142","UDP","70","64192  >  443 Len=28"
"1507","7.641026","132.72.81.121","172.217.17.142","UDP","70","64192  >  443 Len=28"
"1508","7.641071","132.72.81.121","172.217.17.142","UDP","70","64192  >  443 Len=28"
"1509","7.641115","132.72.81.121","172.217.17.142","UDP","70","64192  >  443 Len=28"
"1510","7.641156","132.72.81.121","172.217.17.142","UDP","70","64192  >  443 Len=28"
"1511","7.641188","132.72.81.121","172.217.17.142","UDP","70","64192  >  443 Len=28"
"1515","7.644621","132.72.81.121","172.217.17.142","UDP","70","64192  >  443 Len=28"
"1518","7.648438","132.72.81.121","172.217.17.142","UDP","70","64192  >  443 Len=28"
"1519","7.651104","132.72.81.121","172.217.168.246","UDP","222","59817  >  443 Len=180"
"1520","7.651436","132.72.81.121","172.217.168.246","UDP","192","59817  >  443 Len=150"
"1523","7.651885","132.72.81.121","172.217.17.142","UDP","70","64192  >  443 Len=28"
"1524","7.653465","132.72.81.121","172.217.168.246","UDP","190","59817  >  443 Len=148"
"1526","7.655447","132.72.81.121","172.217.168.246","UDP","191","59817  >  443 Len=149"
"1529","7.655760","132.72.81.121","172.217.168.246","UDP","191","59817  >  443 Len=149"
"1530","7.655897","132.72.81.121","172.217.168.246","UDP","191","59817  >  443 Len=149"
"1531","7.655999","132.72.81.121","172.217.17.142","UDP","70","64192  >  443 Len=28"
"1532","7.658518","132.72.81.121","172.217.168.246","UDP","191","59817  >  443 Len=149"
"1535","7.659387","132.72.81.121","172.217.17.142","UDP","83","64192  >  443 Len=41"
"1536","7.662518","132.72.81.121","132.72.140.46","DNS","78","Standard query 0xb4af A www.traveline.info"
"1539","7.663493","132.72.81.121","172.217.168.246","UDP","191","59817  >  443 Len=149"
"1540","7.663738","132.72.81.121","172.217.17.142","UDP","70","64192  >  443 Len=28"
"1541","7.665584","132.72.81.121","172.217.168.246","UDP","191","59817  >  443 Len=149"
"1545","7.667198","132.72.81.121","172.217.168.246","UDP","191","59817  >  443 Len=149"
"1546","7.668065","132.72.81.121","172.217.17.142","UDP","70","64192  >  443 Len=28"
"1568","7.720398","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1569","7.720466","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1570","7.720514","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1571","7.720569","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1572","7.720616","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1574","7.721928","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1578","7.725183","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1582","7.732676","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1584","7.734412","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1590","7.739149","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1593","7.741676","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1596","7.744715","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1599","7.746429","132.72.81.121","172.217.168.238","UDP","70","57424  >  443 Len=28"
"1602","7.747611","132.72.81.121","172.217.168.238","UDP","70","57424  >  443 Len=28"
"1605","7.750350","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1609","7.753239","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1616","7.757150","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1619","7.761731","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1622","7.765580","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1625","7.769199","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1630","7.788311","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1633","7.791573","132.72.81.121","172.217.168.246","UDP","83","59817  >  443 Len=41"
"1636","7.796545","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1639","7.799053","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1642","7.803529","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1645","7.805407","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1650","7.809541","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1653","7.811188","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1656","7.814716","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1659","7.817113","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1664","7.820002","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1667","7.822792","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1670","7.824541","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1680","7.827372","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1684","7.829641","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1687","7.831812","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1690","7.834287","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1693","7.835638","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1696","7.838974","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1699","7.840843","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1702","7.843529","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1705","7.845743","132.72.81.121","172.217.168.246","UDP","83","59817  >  443 Len=41"
"1708","7.847383","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1711","7.849225","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1714","7.852072","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1717","7.853876","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1720","7.856103","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1723","7.857399","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1726","7.857887","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1739","7.865609","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1750","7.872479","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1761","7.879740","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1772","7.886032","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1783","7.893071","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1790","7.911093","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1848","8.508567","132.72.81.121","132.72.140.46","DNS","73","Standard query 0x26a9 A yt3.ggpht.com"
"1850","8.517706","132.72.81.121","216.58.208.97","UDP","1392","57960  >  443 Len=1350"
"1851","8.518289","132.72.81.121","216.58.208.97","UDP","468","57960  >  443 Len=426"
"1852","8.518993","132.72.81.121","216.58.208.97","UDP","165","57960  >  443 Len=123"
"1853","8.519107","132.72.81.121","216.58.208.97","UDP","167","57960  >  443 Len=125"
"1854","8.521752","132.72.81.121","216.58.208.97","UDP","165","57960  >  443 Len=123"
"1855","8.522314","132.72.81.121","216.58.208.97","UDP","166","57960  >  443 Len=124"
"1856","8.522895","132.72.81.121","216.58.208.97","UDP","166","57960  >  443 Len=124"
"1857","8.523101","132.72.81.121","172.217.168.246","UDP","205","59817  >  443 Len=163"
"1858","8.523556","132.72.81.121","216.58.208.97","UDP","165","57960  >  443 Len=123"
"1859","8.523739","132.72.81.121","216.58.208.97","UDP","166","57960  >  443 Len=124"
"1860","8.524040","132.72.81.121","216.58.208.97","UDP","164","57960  >  443 Len=122"
"1861","8.524216","132.72.81.121","216.58.208.97","UDP","166","57960  >  443 Len=124"
"1862","8.524410","132.72.81.121","216.58.208.97","UDP","166","57960  >  443 Len=124"
"1863","8.524681","132.72.81.121","172.217.168.246","UDP","190","59817  >  443 Len=148"
"1864","8.524819","132.72.81.121","172.217.168.246","UDP","194","59817  >  443 Len=152"
"1865","8.525079","132.72.81.121","172.217.168.246","UDP","190","59817  >  443 Len=148"
"1866","8.525224","132.72.81.121","172.217.168.246","UDP","193","59817  >  443 Len=151"
"1882","8.589541","132.72.81.121","216.58.208.97","UDP","70","57960  >  443 Len=28"
"1883","8.589656","132.72.81.121","216.58.208.97","UDP","70","57960  >  443 Len=28"
"1884","8.589698","132.72.81.121","216.58.208.97","UDP","70","57960  >  443 Len=28"
"1892","8.591023","132.72.81.121","216.58.208.97","UDP","70","57960  >  443 Len=28"
"1893","8.591074","132.72.81.121","216.58.208.97","UDP","70","57960  >  443 Len=28"
"1894","8.591188","132.72.81.121","216.58.208.97","UDP","70","57960  >  443 Len=28"
"1900","8.592024","132.72.81.121","216.58.208.97","UDP","70","57960  >  443 Len=28"
"1914","8.592365","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1923","8.593892","132.72.81.121","216.58.208.97","UDP","70","57960  >  443 Len=28"
"1928","8.595475","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1935","8.596955","132.72.81.121","216.58.208.97","UDP","70","57960  >  443 Len=28"
"1940","8.597145","132.72.81.121","216.58.208.97","UDP","70","57960  >  443 Len=28"
"1950","8.598598","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1951","8.599716","132.72.81.121","216.58.208.97","UDP","70","57960  >  443 Len=28"
"1963","8.600838","132.72.81.121","216.58.208.97","UDP","70","57960  >  443 Len=28"
"1964","8.600880","132.72.81.121","216.58.208.97","UDP","70","57960  >  443 Len=28"
"1965","8.601538","132.72.81.121","172.217.168.246","UDP","70","59817  >  443 Len=28"
"1970","8.602364","132.72.81.121","216.58.208.97","UDP","70","57960  >  443 Len=28"
