"No.","Time","Source","Destination","Protocol","Length","Info"
"7","0.016036","132.72.140.46","132.72.81.121","DNS","429","Standard query response 0xce64 A www.southglos.gov.uk CNAME sgc-website.azurewebsites.net CNAME waws-prod-db3-075.vip.azurewebsites.windows.net CNAME waws-prod-db3-075.cloudapp.net A 52.178.190.191 NS ns1prod.18.azuredns-prd.info NS ns1prod.18.azuredns-prd.org NS ns2prod.18.azuredns-prd.info NS ns2prod.18.azuredns-prd.org A 40.90.4.201 A 13.107.24.201 A 64.4.48.201 A 13.107.160.201"
"487","1.967225","132.72.81.121","132.72.140.46","DNS","76","Standard query 0xb2bf A go.microsoft.com"
"488","1.968008","132.72.140.46","132.72.81.121","DNS","339","Standard query response 0xb2bf A go.microsoft.com CNAME go.microsoft.com.edgekey.net CNAME e11290.dspg.akamaiedge.net A 95.101.192.162 NS n0dspg.akamaiedge.net NS n1dspg.akamaiedge.net NS n7dspg.akamaiedge.net NS n2dspg.akamaiedge.net NS n3dspg.akamaiedge.net NS n6dspg.akamaiedge.net NS n5dspg.akamaiedge.net NS n4dspg.akamaiedge.net"
"490","2.033218","132.72.81.121","132.72.140.46","DNS","72","Standard query 0x6f1f A sjgather.com"
"504","2.108393","132.72.140.46","132.72.81.121","DNS","304","Standard query response 0x6f1f A sjgather.com A 3.113.191.194 A 52.199.109.110 NS ns-1913.awsdns-47.co.uk NS ns-1435.awsdns-51.org NS ns-932.awsdns-52.net NS ns-99.awsdns-12.com A 205.251.192.99 A 205.251.195.164 A 205.251.197.155 A 205.251.199.121"
"559","2.383644","132.72.81.121","132.72.140.46","DNS","85","Standard query 0xc221 A windows.policies.live.net"
"560","2.384495","132.72.140.46","132.72.81.121","DNS","535","Standard query response 0xc221 A windows.policies.live.net CNAME odc-common-us-meta.onedrive.akadns.net A 131.253.14.230 NS a7-131.akadns.net NS a3-129.akadns.net NS a13-130.akagtm.org NS a9-128.akadns.net NS a12-131.akagtm.org NS a1-128.akadns.net NS a18-128.akagtm.org NS a5-130.akagtm.org NS a11-129.akadns.net NS a28-129.akagtm.org A 193.108.88.128 A 96.7.49.129 A 95.100.168.130 A 23.61.199.131 A 184.85.248.128 A 84.53.139.129 A 184.26.160.131 A 2.22.230.130 A 95.101.36.128 A 95.100.173.129"
"710","3.377524","132.72.81.121","132.72.140.46","DNS","74","Standard query 0x2071 A login.live.com"
"711","3.378268","132.72.140.46","132.72.81.121","DNS","547","Standard query response 0x2071 A login.live.com CNAME login.msa.msidentity.com CNAME login.msa.akadns6.net CNAME ipv4.login.msa.akadns6.net A 40.90.137.126 A 40.90.137.125 A 40.90.137.120 NS a12-130.akagtm.org NS a18-131.akagtm.org NS a11-128.akadns6.net NS a5-129.akagtm.org NS a3-128.akadns6.net NS a1-131.akadns6.net NS a13-129.akagtm.org NS a7-130.akadns6.net NS a6-130.akagtm.org NS a9-131.akadns6.net A 193.108.88.131 A 96.7.49.128 A 95.100.168.129 A 23.211.133.130 A 23.61.199.130 A 184.26.161.131 A 84.53.139.128"
"1089","5.742153","132.72.81.121","132.72.140.46","DNS","79","Standard query 0x92b3 A clients4.google.com"
"1090","5.742702","132.72.140.46","132.72.81.121","DNS","255","Standard query response 0x92b3 A clients4.google.com CNAME clients.l.google.com A 172.217.168.238 NS ns4.google.com NS ns2.google.com NS ns3.google.com NS ns1.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10"
"1336","6.964806","132.72.81.121","132.72.140.46","DNS","71","Standard query 0xe639 A i.ytimg.com"
"1337","6.965308","132.72.140.46","132.72.81.121","DNS","230","Standard query response 0xe639 A i.ytimg.com A 172.217.168.246 NS ns2.google.com NS ns3.google.com NS ns4.google.com NS ns1.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10"
"1536","7.662518","132.72.81.121","132.72.140.46","DNS","78","Standard query 0xb4af A www.traveline.info"
"1586","7.737184","132.72.140.46","132.72.81.121","DNS","427","Standard query response 0xb4af A www.traveline.info CNAME prd-traveline-lb.mxdata.co.uk CNAME tvlprd-ssl-130699139.eu-west-1.elb.amazonaws.com A 54.171.211.177 A 52.48.190.130 A 52.17.131.83 NS ns-341.awsdns-42.com NS ns-2023.awsdns-60.co.uk NS ns-1053.awsdns-03.org NS ns-739.awsdns-28.net A 205.251.193.85 A 205.251.194.227 A 205.251.196.29 A 205.251.199.231"
"1848","8.508567","132.72.81.121","132.72.140.46","DNS","73","Standard query 0x26a9 A yt3.ggpht.com"
"1849","8.509056","132.72.140.46","132.72.81.121","DNS","277","Standard query response 0x26a9 A yt3.ggpht.com CNAME photos-ugc.l.googleusercontent.com A 216.58.208.97 NS ns2.google.com NS ns4.google.com NS ns3.google.com NS ns1.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10"
"2086","8.907854","132.72.81.121","132.72.140.46","DNS","75","Standard query 0xaf74 A scambusters.org"
"2092","8.982262","132.72.140.46","132.72.81.121","DNS","246","Standard query response 0xaf74 A scambusters.org A 34.250.200.167 NS guppy.ezoicns.com NS camel.ezoicns.com NS quoll.ezoicns.com NS eagle.ezoicns.com A 205.251.195.140 A 205.251.198.76 A 205.251.193.108 A 205.251.197.155"
"2749","10.182918","132.72.81.121","132.72.140.46","DNS","84","Standard query 0xe723 A dailynaturalremedies.com"
"2936","10.246584","132.72.140.46","132.72.81.121","DNS","201","Standard query response 0xe723 A dailynaturalremedies.com A 104.24.111.82 A 104.24.110.82 NS stan.ns.cloudflare.com NS amber.ns.cloudflare.com A 173.245.59.235 A 173.245.58.64"
"3098","10.880298","132.72.81.121","132.72.140.46","DNS","82","Standard query 0x9055 A www.ricksdailytips.com"
"3111","10.943654","132.72.140.46","132.72.81.121","DNS","198","Standard query response 0x9055 A www.ricksdailytips.com A 104.18.35.56 A 104.18.34.56 NS todd.ns.cloudflare.com NS gina.ns.cloudflare.com A 173.245.58.117 A 173.245.59.146"
"3222","11.513975","132.72.81.121","132.72.140.46","DNS","78","Standard query 0xca86 A investfourmore.com"
"3253","11.576962","132.72.140.46","132.72.81.121","DNS","194","Standard query response 0xca86 A investfourmore.com A 104.26.12.80 A 104.26.13.80 NS alla.ns.cloudflare.com NS newt.ns.cloudflare.com A 173.245.58.62 A 173.245.59.212"
"3739","13.324029","132.72.81.121","132.72.140.46","DNS","72","Standard query 0xed9a A advrider.com"
"3747","13.399463","132.72.140.46","132.72.81.121","DNS","289","Standard query response 0xed9a A advrider.com A 18.205.169.1 NS ns-1505.awsdns-60.org NS ns-755.awsdns-30.net NS ns-466.awsdns-58.com NS ns-1663.awsdns-15.co.uk A 205.251.193.210 A 205.251.194.243 A 205.251.197.225 A 205.251.198.127"
"4015","14.758414","132.72.81.121","132.72.140.46","DNS","76","Standard query 0x5b99 A www.timemaps.com"
"4023","14.834450","132.72.140.46","132.72.81.121","DNS","212","Standard query response 0x5b99 A www.timemaps.com A 52.208.197.252 NS horse.ezoicns.com NS moose.ezoicns.com NS coral.ezoicns.com NS human.ezoicns.com A 205.251.192.219 A 205.251.194.155"
"4102","15.487189","132.72.81.121","132.72.140.46","DNS","75","Standard query 0x62d7 A www.edubuzz.org"
"4104","15.580380","132.72.81.121","132.72.140.45","DNS","75","Standard query 0x62d7 A www.edubuzz.org"
"4107","15.628470","132.72.140.46","132.72.81.121","DNS","400","Standard query response 0x62d7 A www.edubuzz.org CNAME edubuzz.prod.dxw.net CNAME edubuzz-elb-1333787447.eu-west-1.elb.amazonaws.com A 52.212.191.227 A 18.200.207.132 NS ns-2023.awsdns-60.co.uk NS ns-341.awsdns-42.com NS ns-739.awsdns-28.net NS ns-1053.awsdns-03.org A 205.251.193.85 A 205.251.194.227 A 205.251.196.29 A 205.251.199.231"
"4125","15.723968","132.72.140.45","132.72.81.121","DNS","400","Standard query response 0x62d7 A www.edubuzz.org CNAME edubuzz.prod.dxw.net CNAME edubuzz-elb-1333787447.eu-west-1.elb.amazonaws.com A 52.212.191.227 A 18.200.207.132 NS ns-1053.awsdns-03.org NS ns-341.awsdns-42.com NS ns-739.awsdns-28.net NS ns-2023.awsdns-60.co.uk A 205.251.193.85 A 205.251.194.227 A 205.251.196.29 A 205.251.199.231"
"4327","17.188822","132.72.81.121","132.72.140.46","DNS","73","Standard query 0x6bd5 A retipster.com"
"4328","17.264627","132.72.81.121","132.72.140.46","DNS","74","Standard query 0x0e95 A wpad.bgu.ac.il"
"4329","17.265368","132.72.140.46","132.72.81.121","DNS","128","Standard query response 0x0e95 No such name A wpad.bgu.ac.il SOA dns1.bgu.ac.il"
"4330","17.275262","132.72.140.46","132.72.81.121","DNS","213","Standard query response 0x6bd5 A retipster.com A 52.208.197.252 NS beagle.ezoicns.com NS dugong.ezoicns.com NS weasel.ezoicns.com NS insect.ezoicns.com A 205.251.192.77 A 205.251.195.240"
"4961","18.712678","132.72.81.121","132.72.140.46","DNS","84","Standard query 0x8876 A www.whatsonnortheast.com"
"4976","18.805262","132.72.81.121","132.72.140.45","DNS","84","Standard query 0x8876 A www.whatsonnortheast.com"
"4988","18.927887","132.72.140.46","132.72.81.121","DNS","197","Standard query response 0x8876 A www.whatsonnortheast.com CNAME whatsonnortheast.com A 176.58.115.202 NS pns31.cloudns.net NS pns32.cloudns.net A 185.136.96.66 A 185.136.97.66"
"5012","19.028008","132.72.140.45","132.72.81.121","DNS","253","Standard query response 0x8876 A www.whatsonnortheast.com CNAME whatsonnortheast.com A 176.58.115.202 NS pns32.cloudns.net NS pns31.cloudns.net A 185.136.96.66 AAAA 2a06:fb00:1::1:66 A 185.136.97.66 AAAA 2a06:fb00:1::2:66"
"5711","19.636307","132.72.81.121","132.72.140.46","DNS","72","Standard query 0xb607 A i9.ytimg.com"
"5712","19.636750","132.72.140.46","132.72.81.121","DNS","231","Standard query response 0xb607 A i9.ytimg.com A 216.58.208.110 NS ns2.google.com NS ns1.google.com NS ns4.google.com NS ns3.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10"
"7611","19.883004","132.72.81.121","132.72.140.46","DNS","79","Standard query 0x8774 A www.carimport.co.il"
"7662","19.948620","132.72.140.46","132.72.81.121","DNS","183","Standard query response 0x8774 A www.carimport.co.il A 104.18.49.25 A 104.18.48.25 NS ali.ns.cloudflare.com NS rajeev.ns.cloudflare.com A 173.245.59.224"
"8093","20.652859","132.72.81.121","132.72.140.46","DNS","87","Standard query 0xeee3 A safebrowsing.googleapis.com"
"8094","20.653463","132.72.140.46","132.72.81.121","DNS","246","Standard query response 0xeee3 A safebrowsing.googleapis.com A 172.217.20.74 NS ns1.google.com NS ns3.google.com NS ns2.google.com NS ns4.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10"
"8172","20.822650","132.72.81.121","132.72.140.46","DNS","73","Standard query 0xe7a9 A goodyfeed.com"
"8189","20.886841","132.72.140.46","132.72.81.121","DNS","190","Standard query response 0xe7a9 A goodyfeed.com A 104.25.192.104 A 104.25.191.104 NS kanye.ns.cloudflare.com NS mira.ns.cloudflare.com A 173.245.58.204 A 173.245.59.189"
"9772","21.187676","132.72.81.121","132.72.140.46","DNS","84","Standard query 0xa803 A greece.greekreporter.com"
"9778","21.251033","132.72.140.46","132.72.81.121","DNS","199","Standard query response 0xa803 A greece.greekreporter.com A 104.26.1.166 A 104.26.0.166 NS sue.ns.cloudflare.com NS jeff.ns.cloudflare.com A 173.245.58.145 A 173.245.59.124"
"9890","21.959941","132.72.81.121","132.72.140.46","DNS","75","Standard query 0x4ffa A docs.google.com"
"9891","21.960470","132.72.140.46","132.72.81.121","DNS","227","Standard query response 0x4ffa A docs.google.com A 172.217.17.110 NS ns2.google.com NS ns1.google.com NS ns4.google.com NS ns3.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10"
"9951","22.309032","132.72.81.121","132.72.140.46","DNS","73","Standard query 0x9a51 A blogs.msn.com"
"9964","22.392851","132.72.140.46","132.72.81.121","DNS","419","Standard query response 0x9a51 A blogs.msn.com CNAME msnblogs.azurewebsites.net CNAME waws-prod-dm1-073.vip.azurewebsites.windows.net CNAME waws-prod-dm1-073.cloudapp.net A 52.173.245.249 NS ns1prod.18.azuredns-prd.info NS ns2prod.18.azuredns-prd.info NS ns1prod.18.azuredns-prd.org NS ns2prod.18.azuredns-prd.org A 40.90.4.201 A 13.107.24.201 A 64.4.48.201 A 13.107.160.201"
